Date,Volume
2002-04-25,1517400000
2002-04-26,1374200000
2002-04-29,1314700000
2002-04-30,1628600000
2002-05-01,1451400000
2002-05-02,1364000000
2002-05-03,1284500000
2002-05-06,1122600000
2002-05-07,1354700000
2002-05-08,1502000000
2002-05-09,1153000000
2002-05-10,1171900000
2002-05-13,1088600000
2002-05-14,1414500000
2002-05-15,1420200000
2002-05-16,1256600000
2002-05-17,1274400000
2002-05-20,989800000
2002-05-21,1200500000
2002-05-22,1136300000
2002-05-23,1192900000
2002-05-24,885400000
2002-05-28,996500000
2002-05-29,1081800000
2002-05-30,1286600000
2002-05-31,1277300000
2002-06-03,1324300000
2002-06-04,1466600000
2002-06-05,1300100000
2002-06-06,1601500000
2002-06-07,1341300000
2002-06-10,1226200000
2002-06-11,1212400000
2002-06-12,1795720000
2002-06-13,1405500000
2002-06-14,1549000000
2002-06-17,1236600000
2002-06-18,1193100000
2002-06-19,1336100000
2002-06-20,1389700000
2002-06-21,1497200000
2002-06-24,1552600000
2002-06-25,1513700000
2002-06-26,2014290000
2002-06-27,1908600000
2002-06-28,2117000000
2002-07-01,1425500000
2002-07-02,1823000000
2002-07-03,1527800000
2002-07-05,699400000
2002-07-08,1184400000
2002-07-09,1348900000
2002-07-10,1816900000
2002-07-11,2080480000
2002-07-12,1607400000
2002-07-15,2574800000
2002-07-16,1843700000
2002-07-17,2566500000
2002-07-18,1736300000
2002-07-19,2654100000
2002-07-22,2248060000
2002-07-23,2441020000
2002-07-24,2775560000
2002-07-25,2424700000
2002-07-26,1796100000
2002-07-29,1778650000
2002-07-30,1826090000
2002-07-31,2049360000
2002-08-01,1672200000
2002-08-02,1538100000
2002-08-05,1425500000
2002-08-06,1514100000
2002-08-07,1490400000
2002-08-08,1646700000
2002-08-09,1294900000
2002-08-12,1036500000
2002-08-13,1297700000
2002-08-14,1533800000
2002-08-15,1505100000
2002-08-16,1265300000
2002-08-19,1299800000
2002-08-20,1308500000
2002-08-21,1353100000
2002-08-22,1373000000
2002-08-23,1071500000
2002-08-26,1016900000
2002-08-27,1307700000
2002-08-28,1146600000
2002-08-29,1271100000
2002-08-30,929900000
2002-09-03,1289800000
2002-09-04,1372100000
2002-09-05,1401300000
2002-09-06,1184500000
2002-09-09,1130600000
2002-09-10,1186400000
2002-09-11,846600000
2002-09-12,1191600000
2002-09-13,1271000000
2002-09-16,1001400000
2002-09-17,1448600000
2002-09-18,1501000000
2002-09-19,1524000000
2002-09-20,1792800000
2002-09-23,1381100000
2002-09-24,1670240000
2002-09-25,1651500000
2002-09-26,1650000000
2002-09-27,1507300000
2002-09-30,1721870000
2002-10-01,1780900000
2002-10-02,1668900000
2002-10-03,1674500000
2002-10-04,1835930000
2002-10-07,1576500000
2002-10-08,1938430000
2002-10-09,1885030000
2002-10-10,2090230000
2002-10-11,1854130000
2002-10-14,1200300000
2002-10-15,1956000000
2002-10-16,1585000000
2002-10-17,1780390000
2002-10-18,1423100000
2002-10-21,1447000000
2002-10-22,1549200000
2002-10-23,1593900000
2002-10-24,1700570000
2002-10-25,1340400000
2002-10-28,1382600000
2002-10-29,1529700000
2002-10-30,1422300000
2002-10-31,1641300000
2002-11-01,1450400000
2002-11-04,1645900000
2002-11-05,1354100000
2002-11-06,1674000000
2002-11-07,1466900000
2002-11-08,1446500000
2002-11-11,1113000000
2002-11-12,1377100000
2002-11-13,1463400000
2002-11-14,1519000000
2002-11-15,1400100000
2002-11-18,1282600000
2002-11-19,1337400000
2002-11-20,1517300000
2002-11-21,2415100000
2002-11-22,1626800000
2002-11-25,1574000000
2002-11-26,1543600000
2002-11-27,1350300000
2002-11-29,643460000
2002-12-02,1612000000
2002-12-03,1488400000
2002-12-04,1588900000
2002-12-05,1250200000
2002-12-06,1241100000
2002-12-09,1320800000
2002-12-10,1286600000
2002-12-11,1285100000
2002-12-12,1255300000
2002-12-13,1330800000
2002-12-16,1271600000
2002-12-17,1251800000
2002-12-18,1446200000
2002-12-19,1385900000
2002-12-20,1782730000
2002-12-23,1112100000
2002-12-24,458310000
2002-12-26,721100000
2002-12-27,758400000
2002-12-30,1057800000
2002-12-31,1088500000
2003-01-02,1229200000
2003-01-03,1130800000
2003-01-06,1435900000
2003-01-07,1545200000
2003-01-08,1467600000
2003-01-09,1560300000
2003-01-10,1485400000
2003-01-13,1396300000
2003-01-14,1379400000
2003-01-15,1432100000
2003-01-16,1534600000
2003-01-17,1358200000
2003-01-21,1335200000
2003-01-22,1560800000
2003-01-23,1744550000
2003-01-24,1574800000
2003-01-27,1435900000
2003-01-28,1459100000
2003-01-29,1595400000
2003-01-30,1510300000
2003-01-31,1578530000
2003-02-03,1258500000
2003-02-04,1451600000
2003-02-05,1450800000
2003-02-06,1430900000
2003-02-07,1276800000
2003-02-10,1238200000
2003-02-11,1307000000
2003-02-12,1260500000
2003-02-13,1489300000
2003-02-14,1404600000
2003-02-18,1250800000
2003-02-19,1075600000
2003-02-20,1194100000
2003-02-21,1398200000
2003-02-24,1229200000
2003-02-25,1483700000
2003-02-26,1374400000
2003-02-27,1287800000
2003-02-28,1373300000
2003-03-03,1208900000
2003-03-04,1256600000
2003-03-05,1332700000
2003-03-06,1299200000
2003-03-07,1368500000
2003-03-10,1255000000
2003-03-11,1427700000
2003-03-12,1620000000
2003-03-13,1816300000
2003-03-14,1541900000
2003-03-17,1700420000
2003-03-18,1555100000
2003-03-19,1473400000
2003-03-20,1439100000
2003-03-21,1883710000
2003-03-24,1293000000
2003-03-25,1333400000
2003-03-26,1319700000
2003-03-27,1232900000
2003-03-28,1227000000
2003-03-31,1495500000
2003-04-01,1461600000
2003-04-02,1589800000
2003-04-03,1339500000
2003-04-04,1241200000
2003-04-07,1494000000
2003-04-08,1235400000
2003-04-09,1293700000
2003-04-10,1275300000
2003-04-11,1141600000
2003-04-14,1131000000
2003-04-15,1460200000
2003-04-16,1587600000
2003-04-17,1430600000
2003-04-21,1118700000
2003-04-22,1631200000
2003-04-23,1667200000
2003-04-24,1648100000
2003-04-25,1335800000
2003-04-28,1273000000
2003-04-29,1525600000
2003-04-30,1788510000
2003-05-01,1397500000
2003-05-02,1554300000
2003-05-05,1446300000
2003-05-06,1649600000
2003-05-07,1531900000
2003-05-08,1379600000
2003-05-09,1326100000
2003-05-12,1378800000
2003-05-13,1418100000
2003-05-14,1401800000
2003-05-15,1508700000
2003-05-16,1505500000
2003-05-19,1375700000
2003-05-20,1505300000
2003-05-21,1457800000
2003-05-22,1448500000
2003-05-23,1201000000
2003-05-27,1532000000
2003-05-28,1559000000
2003-05-29,1685800000
2003-05-30,1688800000
2003-06-02,1662500000
2003-06-03,1450200000
2003-06-04,1618700000
2003-06-05,1693100000
2003-06-06,1837200000
2003-06-09,1307000000
2003-06-10,1275400000
2003-06-11,1520000000
2003-06-12,1553100000
2003-06-13,1271600000
2003-06-16,1345900000
2003-06-17,1479700000
2003-06-18,1488900000
2003-06-19,1530100000
2003-06-20,1698000000
2003-06-23,1398100000
2003-06-24,1388300000
2003-06-25,1459200000
2003-06-26,1387400000
2003-06-27,1267800000
2003-06-30,1587200000
2003-07-01,1460200000
2003-07-02,1519300000
2003-07-03,775900000
2003-07-07,1429100000
2003-07-08,1565700000
2003-07-09,1618000000
2003-07-10,1465700000
2003-07-11,1212700000
2003-07-14,1448900000
2003-07-15,1518600000
2003-07-16,1662000000
2003-07-17,1661400000
2003-07-18,1365200000
2003-07-21,1254200000
2003-07-22,1439700000
2003-07-23,1362700000
2003-07-24,1559000000
2003-07-25,1397500000
2003-07-28,1328600000
2003-07-29,1508900000
2003-07-30,1391900000
2003-07-31,1608000000
2003-08-01,1390600000
2003-08-04,1318700000
2003-08-05,1351700000
2003-08-06,1491000000
2003-08-07,1389300000
2003-08-08,1086600000
2003-08-11,1022200000
2003-08-12,1132300000
2003-08-13,1208800000
2003-08-14,1186800000
2003-08-15,636370000
2003-08-18,1127600000
2003-08-19,1300600000
2003-08-20,1210800000
2003-08-21,1407100000
2003-08-22,1308900000
2003-08-25,971700000
2003-08-26,1178700000
2003-08-27,1051400000
2003-08-28,1165200000
2003-08-29,945100000
2003-09-02,1470500000
2003-09-03,1675600000
2003-09-04,1453900000
2003-09-05,1465200000
2003-09-08,1299300000
2003-09-09,1414800000
2003-09-10,1582100000
2003-09-11,1335900000
2003-09-12,1236700000
2003-09-15,1151300000
2003-09-16,1403200000
2003-09-17,1338210000
2003-09-18,1498800000
2003-09-19,1518600000
2003-09-22,1278800000
2003-09-23,1301700000
2003-09-24,1556000000
2003-09-25,1530000000
2003-09-26,1472500000
2003-09-29,1366500000
2003-09-30,1590500000
2003-10-01,1566300000
2003-10-02,1269300000
2003-10-03,1570500000
2003-10-06,1025800000
2003-10-07,1279500000
2003-10-08,1262500000
2003-10-09,1578700000
2003-10-10,1108100000
2003-10-13,1040500000
2003-10-14,1271900000
2003-10-15,1521100000
2003-10-16,1417700000
2003-10-17,1352000000
2003-10-20,1172600000
2003-10-21,1498000000
2003-10-22,1647200000
2003-10-23,1604300000
2003-10-24,1420300000
2003-10-27,1371800000
2003-10-28,1629200000
2003-10-29,1562600000
2003-10-30,1629700000
2003-10-31,1498900000
2003-11-03,1378200000
2003-11-04,1417600000
2003-11-05,1401800000
2003-11-06,1453900000
2003-11-07,1440500000
2003-11-10,1243600000
2003-11-11,1162500000
2003-11-12,1349300000
2003-11-13,1383000000
2003-11-14,1356100000
2003-11-17,1374300000
2003-11-18,1354300000
2003-11-19,1326200000
2003-11-20,1326700000
2003-11-21,1273800000
2003-11-24,1302800000
2003-11-25,1333700000
2003-11-26,1097700000
2003-11-28,487220000
2003-12-01,1375000000
2003-12-02,1383200000
2003-12-03,1441700000
2003-12-04,1463100000
2003-12-05,1265900000
2003-12-08,1218900000
2003-12-09,1465500000
2003-12-10,1444000000
2003-12-11,1441100000
2003-12-12,1223100000
2003-12-15,1520800000
2003-12-16,1547900000
2003-12-17,1441700000
2003-12-18,1579900000
2003-12-19,1657300000
